base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
C o s t r	0	Insert [i g] at -1	C o s t r i g	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [k] at -1	C o s t r k	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [g] at -1	C o s t r g	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [e] at -1	C o s t r e	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [w] at -1	C o s t r w	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at -4 to [-high,+glide]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Insert [o j] at -1	C o s t r o j	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Delete 4 segments at 13,15,17,19	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	C o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
C o s t r	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	C o t r	-6.549	-6.549	0.00007952403260319353	0	0	0	0	1	0
d e C	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d i g	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Mutate the segment(s) at last nucleus to [+glide]	d y C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e C g	0	0	0.05814637706031729	0	0	0	1	0	0
d e C	0	Mutate the segment(s) at last nucleus to [+high]	d i C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Delete 4 segments at 13,15,17,19	d e C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e k	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [i g] at -1	d e C i g	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	d e C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [k] at -1	d e C k	0	0	0.05814637706031729	0	0	0	1	0	0
d e C	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	d e	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	d e C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [e] at -1	d e C e	0	0	0.05814637706031729	0	0	0	1	0	0
d e C	0	Insert [w] at -1	d e C w	0	0	0.05814637706031729	0	0	0	1	0	0
d e C	0	Mutate the segment(s) at -4 to [-high,+glide]	d y C	0	0	0.05814637706031729	0	0	0	0	0	0
d e C	0	Insert [o j] at -1	d e C o j	0	0	0.05814637706031729	0	0	0	0	0	0
